Input Text Index,Tempo di inferenza,Uso CPU prima,Uso CPU dopo,Uso memoria prima,Uso memoria dopo,Score
284,2.3039019107818604,18.6,34.3,3199025152,3241541632,9.556583404541016
285,1.6756129264831543,20.6,23.4,3235643392,3145662464,9.032602310180664
286,2.5322680473327637,27.6,35.1,3221438464,3151659008,16.531435012817383
287,2.2122740745544434,19.2,35.5,3167059968,3183804416,20.605670928955078
288,2.2372069358825684,20.9,35.8,3199336448,3171500032,9.428295135498047
290,2.0530149936676025,18.0,35.0,3202646016,3173990400,1.4548884630203247
292,2.216442108154297,23.5,35.6,3230023680,3181871104,11.51515007019043
295,2.1125612258911133,23.6,36.0,3164078080,3211657216,1.9118385314941406
297,2.275524139404297,20.2,34.5,3189342208,3164553216,12.098250389099121
298,2.2864975929260254,22.2,35.8,3138912256,3077816320,13.765115737915039
299,2.214895009994507,31.4,36.4,3029843968,3114778624,8.929012298583984
301,2.140389919281006,28.7,36.9,3107733504,3156131840,1.9314085245132446
303,2.628077983856201,20.7,35.3,3177037824,3127148544,14.18405818939209
304,2.4842710494995117,14.4,35.2,3111452672,3084599296,16.45621681213379
306,2.0959632396698,15.2,34.9,3079716864,3044442112,1.8376390933990479
308,2.403157949447632,27.4,36.7,3170795520,3089645568,16.237903594970703
309,2.634225845336914,17.1,46.1,3095527424,2917777408,14.6621675491333
310,2.6369857788085938,22.1,34.5,2923315200,3120300032,14.304574966430664
311,2.62693190574646,25.4,35.2,3134062592,3118383104,28.714290618896484
312,2.6114940643310547,21.4,34.7,3131785216,3134406656,20.53396224975586
313,2.256971836090088,16.4,35.7,3106865152,3129393152,17.3444766998291
314,2.4578850269317627,17.0,46.6,3149250560,3024814080,15.50112247467041
316,2.1360650062561035,26.8,35.1,2963488768,3080503296,1.5122781991958618
318,2.09614896774292,27.8,38.4,3196289024,3227762688,3.6612861156463623
319,2.2545368671417236,19.9,34.8,3228499968,3207987200,13.319125175476074
322,2.0829131603240967,20.6,35.9,3232989184,3272884224,2.1292035579681396
324,2.471892833709717,19.1,77.5,3289251840,3047800832,5.372458457946777
325,2.483916997909546,80.9,61.7,2843099136,3151134720,7.901317119598389
